ID,SEXO,EDAD,GRADO_INSTRUCCION,TIPO_CARGO,EXPERIENCIA,GERENCIA,CREDIBILIDAD,RESPETO,IMPARCIALIDAD,ORGULLO,CAMARADERIA,GENERAL,TARGET,SCORE_SENTIMENT
137,Femenino,3.0,2.0,0.0,3.0,Alimentos y Bebidas,4.28125,4.433333333,4.416666667,4.3888888889999995,4.25,4.0,PROMOTOR,0.5016
140,Masculino,1.0,0.0,0.0,0.0,Alimentos y Bebidas,3.71875,3.366666667,3.416666667,4.3888888889999995,4.6,5.0,PROMOTOR,0.8547
143,Masculino,1.0,2.0,0.0,0.0,Alimentos y Bebidas,4.46875,4.466666667,4.416666667,4.444444444,4.9,5.0,PROMOTOR,0.9881
146,Masculino,2.0,2.0,0.0,1.0,Alimentos y Bebidas,2.625,2.5333333330000003,2.0,2.833333333,2.9,3.0,DETRACTOR,0.2055
147,Masculino,1.0,2.0,0.0,1.0,Alimentos y Bebidas,3.40625,3.0,2.583333333,3.4444444439999997,3.3,4.0,DETRACTOR,0.7637
148,Masculino,2.0,1.0,0.0,3.0,Alimentos y Bebidas,2.21875,2.233333333,2.25,2.666666667,2.8,1.0,DETRACTOR,0.7639
149,Masculino,1.0,2.0,0.0,0.0,Administracion,3.84375,4.133333333,3.625,4.166666667,4.5,4.0,PROMOTOR,0.6588
157,Masculino,3.0,4.0,4.0,2.0,Administracion,4.1875,4.133333333,3.916666667,4.1111111110000005,4.0,4.0,PROMOTOR,0.8017
160,Masculino,2.0,0.0,1.0,1.0,Administracion,4.3125,4.633333333,4.291666667,4.444444444,4.55,5.0,PROMOTOR,0.9883
162,Masculino,2.0,1.0,1.0,1.0,Administracion,4.5,4.666666667,4.625,4.6111111110000005,3.7,5.0,PROMOTOR,0.0505
164,Masculino,0.0,0.0,1.0,0.0,Administracion,4.53125,4.766666667,4.583333333,4.722222222,4.85,5.0,PROMOTOR,0.0608
165,Masculino,1.0,1.0,1.0,1.0,Administracion,4.5,4.2,4.166666667,4.777777778,4.7,5.0,PROMOTOR,0.8536
170,Masculino,0.0,0.0,1.0,0.0,Administracion,4.09375,3.9,3.958333333,4.0,3.8,5.0,PROMOTOR,0.3524
173,Masculino,3.0,0.0,1.0,1.0,Administracion,4.28125,3.866666667,3.75,4.222222222,4.35,5.0,PROMOTOR,0.2585
174,Masculino,3.0,0.0,0.0,2.0,Administracion,3.75,4.2,3.833333333,4.555555556,4.15,5.0,PROMOTOR,0.9304
175,Femenino,1.0,0.0,0.0,1.0,Administracion,2.65625,2.6,2.583333333,3.166666667,2.9,2.5,DETRACTOR,0.4981
177,Masculino,2.0,2.0,1.0,2.0,Administracion,3.46875,3.066666667,2.875,3.277777778,3.55,3.5,DETRACTOR,0.3392
179,Masculino,2.0,1.0,1.0,2.0,Administracion,4.53125,4.4,4.166666667,4.666666667,4.65,5.0,PROMOTOR,0.0249
184,Masculino,4.0,1.0,1.0,1.0,Administracion,4.03125,4.066666667,4.416666667,4.555555556,3.9,5.0,PROMOTOR,0.947
188,Masculino,2.0,2.0,1.0,3.0,Administracion,4.0625,4.033333333,3.958333333,4.277777778,4.1,4.0,PROMOTOR,0.6171
193,Masculino,1.0,2.0,1.0,1.0,Administracion,4.65625,4.5,4.375,5.0,4.7,5.0,PROMOTOR,0.1417
196,Masculino,3.0,2.0,1.0,3.0,Administracion,3.9375,4.2,3.958333333,4.333333333,4.5,5.0,PROMOTOR,0.7969
197,Masculino,1.0,1.0,1.0,0.0,Administracion,4.4375,4.266666667,4.125,4.777777778,4.35,5.0,PROMOTOR,0.7955
198,Masculino,2.0,2.0,1.0,1.0,Administracion,4.21875,4.1,4.208333333,4.1111111110000005,3.55,4.5,PROMOTOR,0.2319
199,Masculino,1.0,2.0,1.0,1.0,Administracion,4.34375,4.566666667,4.083333333,4.6111111110000005,4.3,4.5,PROMOTOR,0.1196
201,Masculino,4.0,2.0,4.0,1.0,Administracion,4.375,4.733333333,4.208333333,4.555555556,4.6,5.0,PROMOTOR,0.207
202,Masculino,2.0,3.0,4.0,2.0,Administracion,2.84375,3.0333333330000003,2.875,3.111111111,3.0,3.0,DETRACTOR,0.0427
203,Masculino,2.0,2.0,4.0,3.0,Administracion,2.5625,2.7,2.125,3.222222222,2.95,3.0,DETRACTOR,0.3927
208,Masculino,2.0,1.0,4.0,3.0,Administracion,4.6875,4.633333333,4.625,4.444444444,4.65,4.5,PROMOTOR,0.5137
210,Masculino,3.0,2.0,4.0,3.0,Administracion,4.0,4.4,4.125,4.777777778,4.2,5.0,PROMOTOR,0.6039
211,Masculino,2.0,2.0,4.0,3.0,Administracion,4.03125,4.333333333,3.625,4.555555556,4.3,5.0,PROMOTOR,0.9197
212,Masculino,4.0,4.0,4.0,3.0,Administracion,4.65625,4.933333333,4.458333333,4.777777778,4.85,5.0,PROMOTOR,0.3154
213,Masculino,4.0,4.0,4.0,3.0,Administracion,4.84375,4.833333333,4.708333333,5.0,5.0,5.0,PROMOTOR,0.8149
214,Masculino,2.0,0.0,0.0,0.0,Administracion,4.28125,4.2,4.166666667,4.777777778,4.9,5.0,PROMOTOR,0.838
215,Masculino,2.0,1.0,0.0,1.0,Administracion,4.46875,4.133333333,3.833333333,4.722222222,4.35,5.0,PROMOTOR,0.9082
217,Masculino,1.0,0.0,0.0,1.0,Administracion,4.28125,4.2,4.041666667,4.444444444,4.45,5.0,PROMOTOR,0.6855
218,Masculino,2.0,1.0,0.0,0.0,Administracion,4.1875,4.133333333,4.125,4.777777778,4.55,5.0,PROMOTOR,0.6562
219,Masculino,0.0,0.0,0.0,1.0,Administracion,4.84375,4.5,4.416666667,4.722222222,4.65,5.0,PROMOTOR,0.5391
221,Masculino,1.0,0.0,0.0,0.0,Administracion,3.96875,4.333333333,4.083333333,4.5,4.8,5.0,PROMOTOR,0.9772
222,Masculino,0.0,0.0,0.0,1.0,Administracion,3.0,3.6,4.541666667,3.0,3.55,3.0,DETRACTOR,0.0656
223,Masculino,1.0,0.0,0.0,1.0,Administracion,4.28125,4.233333333,4.291666667,4.055555556,4.2,4.5,PROMOTOR,0.0335
224,Masculino,0.0,0.0,0.0,1.0,Administracion,4.34375,3.9,4.375,3.777777778,4.35,4.0,PROMOTOR,0.8285
